iter	Passed	Remaining
416	2142	7033
417	2146	7024
418	2149	7014
419	2154	7006
420	2159	7000
421	2163	6992
422	2167	6984
423	2171	6976
424	2176	6970
425	2182	6967
426	2186	6959
427	2191	6953
428	2196	6946
429	2200	6937
430	2204	6929
431	2208	6920
432	2212	6912
433	2216	6904
434	2220	6895
435	2224	6887
436	2228	6880
437	2233	6873
438	2237	6865
439	2241	6855
440	2245	6849
441	2249	6841
442	2254	6834
443	2258	6825
444	2262	6817
445	2265	6807
446	2269	6798
447	2273	6790
448	2278	6784
449	2282	6777
450	2286	6768
451	2290	6760
452	2294	6752
453	2298	6743
454	2302	6734
455	2306	6726
456	2310	6718
457	2314	6709
458	2317	6700
459	2321	6693
460	2325	6684
461	2329	6676
462	2333	6667
463	2338	6662
464	2342	6655
465	2346	6647
466	2352	6643
467	2358	6642
468	2363	6636
469	2368	6632
470	2372	6625
471	2377	6618
472	2383	6617
473	2388	6611
474	2393	6606
475	2398	6599
476	2402	6591
477	2406	6584
478	2410	6577
479	2416	6573
480	2420	6566
481	2424	6558
482	2428	6550
483	2432	6542
484	2436	6534
485	2440	6528
486	2446	6524
487	2450	6518
488	2454	6510
489	2459	6505
490	2464	6499
491	2469	6494
492	2473	6487
493	2477	6479
494	2481	6472
495	2485	6464
496	2489	6456
497	2493	6448
498	2497	6440
499	2501	6432
500	2505	6425
501	2508	6417
502	2512	6409
503	2517	6403
504	2521	6396
505	2525	6388
506	2529	6380
507	2533	6373
508	2537	6366
509	2541	6358
510	2545	6351
511	2550	6345
512	2555	6342
513	2559	6335
514	2564	6328
515	2568	6322
516	2573	6316
517	2578	6311
518	2582	6304
519	2586	6297
520	2590	6289
521	2594	6281
522	2598	6274
523	2602	6266
524	2606	6259
525	2611	6256
526	2618	6255
527	2621	6246
528	2626	6240
529	2630	6232
530	2634	6226
531	2638	6218
532	2642	6211
533	2646	6204
534	2649	6196
535	2653	6188
536	2658	6183
537	2662	6176
538	2666	6169
539	2670	6162
540	2675	6156
541	2679	6149
542	2684	6144
543	2688	6137
544	2692	6131
545	2696	6124
546	2700	6117
547	2704	6110
548	2708	6103
549	2713	6096
550	2717	6090
551	2721	6084
552	2725	6077
553	2729	6070
554	2733	6062
555	2737	6055
556	2741	6049
557	2746	6043
558	2751	6038
559	2755	6032
560	2760	6027
561	2765	6022
562	2769	6015
563	2773	6009
564	2777	6002
565	2781	5996
566	2785	5989
567	2789	5981
568	2793	5975
569	2797	5968
570	2801	5961
571	2805	5954
572	2809	5948
573	2814	5942
574	2817	5934
575	2821	5927
576	2829	5927
577	2832	5920
578	2836	5914
579	2842	5910
580	2848	5908
581	2853	5902
582	2857	5895
583	2861	5888
584	2864	5881
585	2868	5874
586	2873	5869
587	2877	5863
588	2881	5856
589	2886	5850
590	2890	5845
591	2895	5839
592	2900	5835
593	2905	5831
594	2910	5826
595	2915	5821
596	2920	5815
597	2924	5808
598	2928	5802
599	2932	5795
600	2936	5789
601	2940	5783
602	2944	5777
603	2949	5771
604	2953	5765
605	2957	5758
606	2961	5751
607	2965	5745
608	2969	5739
609	2974	5733
610	2979	5729
611	2984	5725
612	2988	5718
613	2992	5712
614	2996	5705
615	3000	5699
616	3005	5694
617	3009	5688
618	3013	5681
619	3017	5675
620	3021	5668
621	3026	5663
622	3030	5657
623	3034	5650
624	3038	5644
625	3042	5638
626	3046	5631
627	3050	5624
628	3055	5619
629	3059	5613
630	3063	5607
631	3067	5600
632	3072	5595
633	3078	5593
634	3082	5586
635	3087	5582
636	3091	5576
637	3096	5571
638	3100	5566
639	3105	5559
640	3109	5553
641	3115	5551
642	3119	5545
643	3123	5539
644	3128	5534
645	3135	5533
646	3140	5529
647	3144	5522
648	3148	5516
649	3152	5510
650	3156	5503
651	3160	5497
652	3165	5491
653	3169	5486
654	3173	5480
655	3177	5474
656	3181	5467
657	3185	5461
658	3189	5454
